fold,model,accuracy,f1_macro,f1_cancer,recall_cancer,precision_cancer,n_pseudo,n_pseudo_cancer,n_pseudo_normal,n_selected_clusters,pseudo_weight,purity_threshold,min_labeled_per_cluster,clustering_method
1,kmeans_weight_0.01,0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,538,447,91,4,0.01,0.95,2,kmeans
2,kmeans_weight_0.01,0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,479,479,0,3,0.01,0.95,2,kmeans
3,kmeans_weight_0.01,0.95,0.949874686716792,0.9473684210526315,0.9,1.0,561,447,114,4,0.01,0.95,2,kmeans
4,kmeans_weight_0.01,0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,743,619,124,5,0.01,0.95,2,kmeans
5,kmeans_weight_0.01,0.95,0.949874686716792,0.9473684210526315,0.9,1.0,691,499,192,5,0.01,0.95,2,kmeans
1,kmeans_weight_0.05,0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,538,447,91,4,0.05,0.95,2,kmeans
2,kmeans_weight_0.05,0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,479,479,0,3,0.05,0.95,2,kmeans
3,kmeans_weight_0.05,0.95,0.949874686716792,0.9473684210526315,0.9,1.0,561,447,114,4,0.05,0.95,2,kmeans
4,kmeans_weight_0.05,0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,743,619,124,5,0.05,0.95,2,kmeans
5,kmeans_weight_0.05,0.95,0.949874686716792,0.9473684210526315,0.9,1.0,691,499,192,5,0.05,0.95,2,kmeans
1,kmeans_weight_0.1,0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,538,447,91,4,0.1,0.95,2,kmeans
2,kmeans_weight_0.1,0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,479,479,0,3,0.1,0.95,2,kmeans
3,kmeans_weight_0.1,0.95,0.949874686716792,0.9473684210526315,0.9,1.0,561,447,114,4,0.1,0.95,2,kmeans
4,kmeans_weight_0.1,0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,743,619,124,5,0.1,0.95,2,kmeans
5,kmeans_weight_0.1,0.95,0.949874686716792,0.9473684210526315,0.9,1.0,691,499,192,5,0.1,0.95,2,kmeans
1,kmeans_weight_0.2,0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,538,447,91,4,0.2,0.95,2,kmeans
2,kmeans_weight_0.2,0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,479,479,0,3,0.2,0.95,2,kmeans
3,kmeans_weight_0.2,0.95,0.949874686716792,0.9473684210526315,0.9,1.0,561,447,114,4,0.2,0.95,2,kmeans
4,kmeans_weight_0.2,0.9,0.9,0.9,0.9,0.9,743,619,124,5,0.2,0.95,2,kmeans
5,kmeans_weight_0.2,0.95,0.949874686716792,0.9473684210526315,0.9,1.0,691,499,192,5,0.2,0.95,2,kmeans
1,kmeans_weight_0.5,0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,538,447,91,4,0.5,0.95,2,kmeans
2,kmeans_weight_0.5,0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,479,479,0,3,0.5,0.95,2,kmeans
3,kmeans_weight_0.5,0.95,0.949874686716792,0.9473684210526315,0.9,1.0,561,447,114,4,0.5,0.95,2,kmeans
4,kmeans_weight_0.5,0.9,0.9,0.9,0.9,0.9,743,619,124,5,0.5,0.95,2,kmeans
5,kmeans_weight_0.5,0.95,0.949874686716792,0.9473684210526315,0.9,1.0,691,499,192,5,0.5,0.95,2,kmeans
