fold,model,accuracy,f1_macro,f1_cancer,pseudo_weight,n_train
1,supervised_cv,0.9,0.898989898989899,0.9090909090909091,,
2,supervised_cv,0.95,0.949874686716792,0.9523809523809523,,
3,supervised_cv,0.95,0.949874686716792,0.9473684210526315,,
4,supervised_cv,0.95,0.949874686716792,0.9523809523809523,,
5,supervised_cv,0.95,0.949874686716792,0.9473684210526315,,
1,semi_supervised_cv,0.85,0.849624060150376,0.8421052631578947,0.2,1486.0
2,semi_supervised_cv,0.9,0.9,0.9,0.2,1486.0
3,semi_supervised_cv,0.95,0.949874686716792,0.9473684210526315,0.2,1486.0
4,semi_supervised_cv,0.75,0.7442455242966752,0.7058823529411765,0.2,1486.0
5,semi_supervised_cv,0.85,0.8465473145780051,0.8235294117647058,0.2,1486.0
