fold,model,accuracy,f1_macro,f1_cancer,recall_cancer,precision_cancer,n_pseudo,n_pseudo_cancer,n_pseudo_normal,n_selected_clusters,pseudo_weight,purity_threshold,min_labeled_per_cluster,clustering_method
1,supervised_cv,0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,0,0,0,0,,,,
2,supervised_cv,0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,0,0,0,0,,,,
3,supervised_cv,0.95,0.949874686716792,0.9473684210526315,0.9,1.0,0,0,0,0,,,,
4,supervised_cv,0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,0,0,0,0,,,,
5,supervised_cv,0.95,0.949874686716792,0.9473684210526315,0.9,1.0,0,0,0,0,,,,
1,semi_supervised_kmeans_selective_cv,0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,538,447,91,4,0.01,0.95,2.0,kmeans
2,semi_supervised_kmeans_selective_cv,0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,479,479,0,3,0.01,0.95,2.0,kmeans
3,semi_supervised_kmeans_selective_cv,0.95,0.949874686716792,0.9473684210526315,0.9,1.0,561,447,114,4,0.01,0.95,2.0,kmeans
4,semi_supervised_kmeans_selective_cv,0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,743,619,124,5,0.01,0.95,2.0,kmeans
5,semi_supervised_kmeans_selective_cv,0.95,0.949874686716792,0.9473684210526315,0.9,1.0,691,499,192,5,0.01,0.95,2.0,kmeans
1,semi_supervised_dbscan_selective_cv,0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,330,330,0,1,0.01,0.95,2.0,dbscan
2,semi_supervised_dbscan_selective_cv,0.9,0.9,0.9,0.9,0.9,325,325,0,1,0.01,0.95,2.0,dbscan
3,semi_supervised_dbscan_selective_cv,0.95,0.949874686716792,0.9473684210526315,0.9,1.0,0,0,0,0,0.01,0.95,2.0,dbscan
4,semi_supervised_dbscan_selective_cv,0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,333,333,0,1,0.01,0.95,2.0,dbscan
5,semi_supervised_dbscan_selective_cv,0.9,0.898989898989899,0.8888888888888888,0.8,1.0,331,331,0,1,0.01,0.95,2.0,dbscan
